timestamp,device_id,npu_aicore_pct,npu_hbm_mb,npu_power_w,npu_temp_c,host_used_kb
2026-08-07T22:42:04.666+00:00,0,0,52388,174.8,46,115785016
2026-08-07T22:42:04.666+00:00,1,0,41381,,48,115785016
2026-08-07T22:42:06.224+00:00,0,70,52517,269.1,56,115854704
2026-08-07T22:42:06.224+00:00,1,0,41381,,48,115854704
2026-08-07T22:42:07.780+00:00,0,71,52517,273.8,55,115918000
2026-08-07T22:42:07.780+00:00,1,0,41381,,48,115918000
2026-08-07T22:42:09.356+00:00,0,71,52518,247.2,55,115942500
2026-08-07T22:42:09.356+00:00,1,0,41381,,48,115942500
2026-08-07T22:42:10.910+00:00,0,72,52518,282.2,56,116244780
2026-08-07T22:42:10.910+00:00,1,0,41381,,48,116244780
2026-08-07T22:42:12.478+00:00,0,67,52518,278.1,56,117419484
2026-08-07T22:42:12.478+00:00,1,0,41381,,48,117419484
2026-08-07T22:42:14.033+00:00,0,70,52517,274.4,55,117517824
2026-08-07T22:42:14.033+00:00,1,0,41381,,48,117517824
2026-08-07T22:42:15.590+00:00,0,52,52517,260.3,54,117595404
2026-08-07T22:42:15.590+00:00,1,0,41381,,48,117595404
2026-08-07T22:42:17.147+00:00,0,62,52517,255.8,54,117742836
2026-08-07T22:42:17.147+00:00,1,0,41381,,48,117742836
2026-08-07T22:42:18.704+00:00,0,69,52517,271.3,55,117770408
2026-08-07T22:42:18.704+00:00,1,0,41381,,48,117770408
2026-08-07T22:42:20.296+00:00,0,68,52518,272.5,55,117860224
2026-08-07T22:42:20.296+00:00,1,0,41381,,48,117860224
2026-08-07T22:42:21.846+00:00,0,0,52518,183.6,48,117885624
2026-08-07T22:42:21.846+00:00,1,0,41381,,48,117885624
