timestamp,device_id,npu_aicore_pct,npu_hbm_mb,npu_power_w,npu_temp_c,host_used_kb
2026-08-07T21:27:43.152+00:00,0,31,51257,222.5,51,122641420
2026-08-07T21:27:43.152+00:00,1,0,45292,,51,122641420
2026-08-07T21:27:44.700+00:00,0,69,51258,276.1,58,122649420
2026-08-07T21:27:44.700+00:00,1,0,45292,,51,122649420
2026-08-07T21:27:46.257+00:00,0,70,51257,285.8,59,122618928
2026-08-07T21:27:46.257+00:00,1,0,45292,,51,122618928
2026-08-07T21:27:47.813+00:00,0,71,51257,278.6,59,122630068
2026-08-07T21:27:47.813+00:00,1,0,45292,,51,122630068
2026-08-07T21:27:49.414+00:00,0,71,51258,286.4,60,122634268
2026-08-07T21:27:49.414+00:00,1,0,45292,,51,122634268
2026-08-07T21:27:50.973+00:00,0,70,51258,280.5,59,122499900
2026-08-07T21:27:50.973+00:00,1,0,45292,,51,122499900
2026-08-07T21:27:52.527+00:00,0,70,51257,283.6,59,122501168
2026-08-07T21:27:52.527+00:00,1,0,45292,,51,122501168
2026-08-07T21:27:54.075+00:00,0,70,51258,271.2,60,122518968
2026-08-07T21:27:54.075+00:00,1,0,45292,,52,122518968
2026-08-07T21:27:55.638+00:00,0,70,51258,281.4,60,122508984
2026-08-07T21:27:55.638+00:00,1,0,45292,,51,122508984
2026-08-07T21:27:57.198+00:00,0,71,51257,275.7,58,122501452
2026-08-07T21:27:57.198+00:00,1,0,45292,,51,122501452
2026-08-07T21:27:58.748+00:00,0,70,51257,284.8,59,122530928
2026-08-07T21:27:58.748+00:00,1,0,45292,,51,122530928
2026-08-07T21:28:00.308+00:00,0,63,51258,266.3,58,122546224
2026-08-07T21:28:00.308+00:00,1,0,45292,,51,122546224
2026-08-07T21:28:01.855+00:00,0,38,51257,253.8,55,122514672
2026-08-07T21:28:01.855+00:00,1,0,45292,,51,122514672
2026-08-07T21:28:03.422+00:00,0,67,51258,272.8,60,122529444
2026-08-07T21:28:03.422+00:00,1,0,45292,,51,122529444
2026-08-07T21:28:04.973+00:00,0,71,51258,281.0,59,122548396
2026-08-07T21:28:04.973+00:00,1,0,45292,,51,122548396
2026-08-07T21:28:06.532+00:00,0,0,51258,186.5,51,122507664
2026-08-07T21:28:06.532+00:00,1,0,45292,,51,122507664
