timestamp,device_id,npu_aicore_pct,npu_hbm_mb,npu_power_w,npu_temp_c,host_used_kb
2026-08-07T21:26:30.703+00:00,0,35,51258,236.5,51,122376636
2026-08-07T21:26:30.703+00:00,1,0,45292,,51,122376636
2026-08-07T21:26:32.265+00:00,0,70,51258,274.5,58,122374432
2026-08-07T21:26:32.265+00:00,1,0,45292,,51,122374432
2026-08-07T21:26:33.829+00:00,0,71,51258,274.8,58,122393316
2026-08-07T21:26:33.829+00:00,1,0,45292,,52,122393316
2026-08-07T21:26:35.399+00:00,0,69,51258,277.6,60,122414528
2026-08-07T21:26:35.399+00:00,1,0,45292,,51,122414528
2026-08-07T21:26:36.946+00:00,0,69,51258,283.3,59,122396900
2026-08-07T21:26:36.946+00:00,1,0,45292,,51,122396900
2026-08-07T21:26:38.509+00:00,0,71,51258,268.7,59,122414816
2026-08-07T21:26:38.509+00:00,1,0,45292,,51,122414816
2026-08-07T21:26:40.073+00:00,0,70,51259,282.8,58,122399404
2026-08-07T21:26:40.073+00:00,1,0,45292,,51,122399404
2026-08-07T21:26:41.641+00:00,0,71,51257,278.9,59,122384016
2026-08-07T21:26:41.641+00:00,1,0,45292,,52,122384016
2026-08-07T21:26:43.196+00:00,0,42,51257,255.0,56,122398248
2026-08-07T21:26:43.196+00:00,1,0,45292,,51,122398248
2026-08-07T21:26:44.776+00:00,0,71,51257,281.3,60,122406908
2026-08-07T21:26:44.776+00:00,1,0,45292,,51,122406908
2026-08-07T21:26:46.331+00:00,0,69,51257,272.7,60,122392628
2026-08-07T21:26:46.331+00:00,1,0,45292,,51,122392628
2026-08-07T21:26:47.893+00:00,0,70,51257,273.8,58,122406284
2026-08-07T21:26:47.893+00:00,1,0,45292,,51,122406284
2026-08-07T21:26:49.457+00:00,0,70,51258,289.0,59,122410676
2026-08-07T21:26:49.457+00:00,1,0,45292,,51,122410676
2026-08-07T21:26:51.031+00:00,0,70,51257,272.9,58,122420144
2026-08-07T21:26:51.031+00:00,1,0,45292,,52,122420144
2026-08-07T21:26:52.682+00:00,0,71,51257,283.6,59,122442164
2026-08-07T21:26:52.682+00:00,1,0,45292,,52,122442164
2026-08-07T21:26:54.241+00:00,0,0,51257,187.1,52,122419356
2026-08-07T21:26:54.241+00:00,1,0,45292,,51,122419356
