timestamp,device_id,npu_aicore_pct,npu_hbm_mb,npu_power_w,npu_temp_c,host_used_kb
2026-08-07T21:19:28.888+00:00,0,44,51256,240.1,56,120399744
2026-08-07T21:19:28.888+00:00,1,0,45292,,52,120399744
2026-08-07T21:19:30.444+00:00,0,71,51256,279.7,59,120061056
2026-08-07T21:19:30.444+00:00,1,0,45292,,54,120061056
2026-08-07T21:19:31.999+00:00,0,70,51255,287.5,62,120055120
2026-08-07T21:19:31.999+00:00,1,0,45292,,53,120055120
2026-08-07T21:19:33.555+00:00,0,65,51256,281.6,62,118995112
2026-08-07T21:19:33.555+00:00,1,0,45292,,53,118995112
2026-08-07T21:19:35.100+00:00,0,65,51256,281.4,62,118981576
2026-08-07T21:19:35.100+00:00,1,0,45292,,53,118981576
2026-08-07T21:19:36.664+00:00,0,69,51255,283.7,62,119697496
2026-08-07T21:19:36.664+00:00,1,0,45292,,53,119697496
2026-08-07T21:19:38.210+00:00,0,69,51255,278.8,61,120136668
2026-08-07T21:19:38.210+00:00,1,0,45292,,53,120136668
2026-08-07T21:19:39.767+00:00,0,67,51256,284.8,63,120001104
2026-08-07T21:19:39.767+00:00,1,0,45292,,54,120001104
2026-08-07T21:19:41.414+00:00,0,72,51256,290.0,62,118921864
2026-08-07T21:19:41.414+00:00,1,0,45292,,53,118921864
2026-08-07T21:19:42.976+00:00,0,49,51255,259.1,59,118941156
2026-08-07T21:19:42.976+00:00,1,0,45292,,53,118941156
2026-08-07T21:19:44.534+00:00,0,59,51256,272.4,61,118921456
2026-08-07T21:19:44.534+00:00,1,0,45292,,53,118921456
2026-08-07T21:19:46.089+00:00,0,71,51256,283.8,61,118907580
2026-08-07T21:19:46.089+00:00,1,0,45292,,53,118907580
2026-08-07T21:19:47.647+00:00,0,72,51255,285.6,61,120585380
2026-08-07T21:19:47.647+00:00,1,0,45292,,53,120585380
2026-08-07T21:19:49.201+00:00,0,70,51255,286.3,62,119002456
2026-08-07T21:19:49.201+00:00,1,0,45292,,53,119002456
2026-08-07T21:19:50.759+00:00,0,68,51256,281.1,63,119127896
2026-08-07T21:19:50.759+00:00,1,0,45292,,54,119127896
2026-08-07T21:19:52.311+00:00,0,70,51255,279.5,62,119685292
2026-08-07T21:19:52.311+00:00,1,0,45292,,52,119685292
2026-08-07T21:19:53.870+00:00,0,72,51256,284.7,61,119741840
2026-08-07T21:19:53.870+00:00,1,0,45292,,53,119741840
2026-08-07T21:19:55.435+00:00,0,71,51256,284.1,62,118988180
2026-08-07T21:19:55.435+00:00,1,0,45292,,53,118988180
2026-08-07T21:19:56.991+00:00,0,70,51255,281.5,62,121037696
2026-08-07T21:19:56.991+00:00,1,0,45292,,52,121037696
2026-08-07T21:19:58.554+00:00,0,71,51256,285.9,62,120723968
2026-08-07T21:19:58.554+00:00,1,0,45292,,53,120723968
2026-08-07T21:20:00.118+00:00,0,45,51256,250.5,60,119734516
2026-08-07T21:20:00.118+00:00,1,0,45292,,53,119734516
2026-08-07T21:20:01.681+00:00,0,71,51256,283.1,61,119745140
2026-08-07T21:20:01.681+00:00,1,0,45292,,53,119745140
2026-08-07T21:20:03.248+00:00,0,69,51255,291.9,62,119829452
2026-08-07T21:20:03.248+00:00,1,0,45292,,53,119829452
2026-08-07T21:20:04.823+00:00,0,71,51256,281.5,62,119900260
2026-08-07T21:20:04.823+00:00,1,0,45292,,53,119900260
2026-08-07T21:20:06.387+00:00,0,67,51256,279.3,63,121497952
2026-08-07T21:20:06.387+00:00,1,0,45292,,53,121497952
2026-08-07T21:20:07.973+00:00,0,68,51255,281.3,62,121009260
2026-08-07T21:20:07.973+00:00,1,0,45292,,54,121009260
2026-08-07T21:20:09.563+00:00,0,68,51256,271.7,62,118990532
2026-08-07T21:20:09.563+00:00,1,0,45292,,52,118990532
2026-08-07T21:20:11.133+00:00,0,72,51255,278.6,62,119159724
2026-08-07T21:20:11.133+00:00,1,0,45292,,54,119159724
2026-08-07T21:20:12.695+00:00,0,70,51255,288.0,63,119938748
2026-08-07T21:20:12.695+00:00,1,0,45292,,53,119938748
2026-08-07T21:20:14.248+00:00,0,48,51256,256.9,59,119555884
2026-08-07T21:20:14.248+00:00,1,0,45292,,53,119555884
2026-08-07T21:20:15.800+00:00,0,60,51256,278.4,61,120851516
2026-08-07T21:20:15.800+00:00,1,0,45292,,53,120851516
2026-08-07T21:20:17.361+00:00,0,70,51255,287.8,62,120234432
2026-08-07T21:20:17.361+00:00,1,0,45292,,52,120234432
2026-08-07T21:20:18.917+00:00,0,68,51256,283.6,62,120010840
2026-08-07T21:20:18.917+00:00,1,0,45292,,53,120010840
2026-08-07T21:20:20.471+00:00,0,67,51255,278.3,62,120146296
2026-08-07T21:20:20.471+00:00,1,0,45292,,53,120146296
