timestamp,device_id,npu_aicore_pct,npu_hbm_mb,npu_power_w,npu_temp_c,host_used_kb
2026-08-07T21:18:05.605+00:00,0,52,51255,247.9,54,118958172
2026-08-07T21:18:05.605+00:00,1,0,45292,,52,118958172
2026-08-07T21:18:07.160+00:00,0,71,51255,284.0,61,118862188
2026-08-07T21:18:07.160+00:00,1,0,45292,,52,118862188
2026-08-07T21:18:08.712+00:00,0,71,51256,282.2,61,118657528
2026-08-07T21:18:08.712+00:00,1,0,45292,,53,118657528
2026-08-07T21:18:10.269+00:00,0,67,51256,283.3,62,119837924
2026-08-07T21:18:10.269+00:00,1,0,45292,,53,119837924
2026-08-07T21:18:11.841+00:00,0,67,51256,285.1,62,119257348
2026-08-07T21:18:11.841+00:00,1,0,45292,,53,119257348
2026-08-07T21:18:13.400+00:00,0,65,51256,280.7,62,119015236
2026-08-07T21:18:13.400+00:00,1,0,45292,,53,119015236
2026-08-07T21:18:14.951+00:00,0,71,51256,288.3,61,118887224
2026-08-07T21:18:14.951+00:00,1,0,45292,,53,118887224
2026-08-07T21:18:16.503+00:00,0,67,51256,274.0,62,118869644
2026-08-07T21:18:16.503+00:00,1,0,45292,,52,118869644
2026-08-07T21:18:18.053+00:00,0,63,51255,275.6,62,118855640
2026-08-07T21:18:18.053+00:00,1,0,45292,,52,118855640
2026-08-07T21:18:19.608+00:00,0,66,51255,277.9,62,119094448
2026-08-07T21:18:19.608+00:00,1,0,45292,,53,119094448
2026-08-07T21:18:21.171+00:00,0,67,51255,285.5,62,120124748
2026-08-07T21:18:21.171+00:00,1,0,45292,,52,120124748
2026-08-07T21:18:22.731+00:00,0,48,51255,256.4,60,119855172
2026-08-07T21:18:22.731+00:00,1,0,45292,,53,119855172
2026-08-07T21:18:24.287+00:00,0,61,51256,271.5,59,118877956
2026-08-07T21:18:24.287+00:00,1,0,45292,,53,118877956
2026-08-07T21:18:25.832+00:00,0,70,51256,283.0,61,118867588
2026-08-07T21:18:25.832+00:00,1,0,45292,,52,118867588
2026-08-07T21:18:27.420+00:00,0,70,51255,279.6,62,118855220
2026-08-07T21:18:27.420+00:00,1,0,45292,,52,118855220
2026-08-07T21:18:28.971+00:00,0,71,51256,285.4,62,118955428
2026-08-07T21:18:28.971+00:00,1,0,45292,,53,118955428
2026-08-07T21:18:30.522+00:00,0,70,51256,283.1,61,120725908
2026-08-07T21:18:30.522+00:00,1,0,45292,,53,120725908
2026-08-07T21:18:32.077+00:00,0,64,51256,275.6,62,120026608
2026-08-07T21:18:32.077+00:00,1,0,45292,,53,120026608
2026-08-07T21:18:33.631+00:00,0,66,51256,277.9,62,119529784
2026-08-07T21:18:33.631+00:00,1,0,45292,,52,119529784
2026-08-07T21:18:35.181+00:00,0,66,51256,281.1,62,119562944
2026-08-07T21:18:35.181+00:00,1,0,45292,,53,119562944
2026-08-07T21:18:36.732+00:00,0,69,51255,282.2,62,119623512
2026-08-07T21:18:36.732+00:00,1,0,45292,,53,119623512
2026-08-07T21:18:38.303+00:00,0,70,51255,285.9,62,119654340
2026-08-07T21:18:38.303+00:00,1,0,45292,,53,119654340
2026-08-07T21:18:39.853+00:00,0,45,51256,264.5,60,119939260
2026-08-07T21:18:39.853+00:00,1,0,45292,,53,119939260
2026-08-07T21:18:41.402+00:00,0,70,51255,257.3,59,120944212
2026-08-07T21:18:41.402+00:00,1,0,45292,,52,120944212
2026-08-07T21:18:42.973+00:00,0,69,51255,282.2,62,118926144
2026-08-07T21:18:42.973+00:00,1,0,45292,,53,118926144
2026-08-07T21:18:44.604+00:00,0,71,51256,291.4,62,118950168
2026-08-07T21:18:44.604+00:00,1,0,45292,,53,118950168
2026-08-07T21:18:46.165+00:00,0,70,51256,282.3,62,118818312
2026-08-07T21:18:46.165+00:00,1,0,45292,,52,118818312
2026-08-07T21:18:47.720+00:00,0,71,51256,285.4,62,119403024
2026-08-07T21:18:47.720+00:00,1,0,45292,,53,119403024
2026-08-07T21:18:49.291+00:00,0,71,51255,283.2,62,121504000
2026-08-07T21:18:49.291+00:00,1,0,45292,,53,121504000
2026-08-07T21:18:50.862+00:00,0,68,51256,278.2,63,120828880
2026-08-07T21:18:50.862+00:00,1,0,45292,,53,120828880
2026-08-07T21:18:52.414+00:00,0,52,51255,255.5,60,118860088
2026-08-07T21:18:52.414+00:00,1,0,45292,,53,118860088
2026-08-07T21:18:53.972+00:00,0,56,51256,271.4,61,118867956
2026-08-07T21:18:53.972+00:00,1,0,45292,,53,118867956
2026-08-07T21:18:55.526+00:00,0,71,51256,288.2,61,118603772
2026-08-07T21:18:55.526+00:00,1,0,45292,,53,118603772
2026-08-07T21:18:57.068+00:00,0,67,51256,282.6,60,118599832
2026-08-07T21:18:57.068+00:00,1,0,45292,,53,118599832
2026-08-07T21:18:58.621+00:00,0,71,51256,287.0,61,119916464
2026-08-07T21:18:58.621+00:00,1,0,45292,,52,119916464
2026-08-07T21:19:00.174+00:00,0,67,51255,279.9,61,119758108
2026-08-07T21:19:00.174+00:00,1,0,45292,,53,119758108
2026-08-07T21:19:01.727+00:00,0,70,51255,281.4,62,118736000
2026-08-07T21:19:01.727+00:00,1,0,45292,,53,118736000
2026-08-07T21:19:03.289+00:00,0,70,51255,279.2,62,118758084
2026-08-07T21:19:03.289+00:00,1,0,45292,,53,118758084
2026-08-07T21:19:04.840+00:00,0,72,51256,285.9,62,119031036
2026-08-07T21:19:04.840+00:00,1,0,45292,,53,119031036
2026-08-07T21:19:06.411+00:00,0,70,51255,279.7,62,118762004
2026-08-07T21:19:06.411+00:00,1,0,45292,,54,118762004
2026-08-07T21:19:07.977+00:00,0,70,51255,283.2,62,119705348
2026-08-07T21:19:07.977+00:00,1,0,45292,,53,119705348
2026-08-07T21:19:09.536+00:00,0,43,51256,258.5,58,119254028
