timestamp,device_id,npu_aicore_pct,npu_hbm_mb,npu_power_w,npu_temp_c,host_used_kb
2026-08-07T22:37:37.278+00:00,0,0,49867,173.1,47,146684528
2026-08-07T22:37:37.278+00:00,1,0,39481,,48,146684528
2026-08-07T22:37:38.845+00:00,0,57,49978,263.4,54,146711004
2026-08-07T22:37:38.845+00:00,1,0,39481,,48,146711004
2026-08-07T22:37:40.413+00:00,0,70,49977,272.9,53,146732112
2026-08-07T22:37:40.413+00:00,1,0,39481,,48,146732112
2026-08-07T22:37:41.981+00:00,0,31,49977,230.4,49,146706684
2026-08-07T22:37:41.981+00:00,1,0,39481,,48,146706684
2026-08-07T22:37:43.546+00:00,0,71,49978,270.0,56,146721800
2026-08-07T22:37:43.546+00:00,1,0,39481,,48,146721800
2026-08-07T22:37:45.105+00:00,0,46,49977,252.2,51,146730296
2026-08-07T22:37:45.105+00:00,1,0,39481,,48,146730296
2026-08-07T22:37:46.673+00:00,0,33,49977,228.5,51,146718788
2026-08-07T22:37:46.673+00:00,1,0,39481,,48,146718788
2026-08-07T22:37:48.234+00:00,0,4,49978,196.1,48,146772184
2026-08-07T22:37:48.234+00:00,1,0,39481,,48,146772184
2026-08-07T22:37:49.793+00:00,0,5,49977,189.0,47,147072584
2026-08-07T22:37:49.793+00:00,1,0,39481,,48,147072584
2026-08-07T22:37:51.355+00:00,0,5,49977,187.3,47,147194348
2026-08-07T22:37:51.355+00:00,1,0,39481,,48,147194348
2026-08-07T22:37:52.992+00:00,0,2,49977,192.7,48,147412752
2026-08-07T22:37:52.992+00:00,1,0,39481,,48,147412752
2026-08-07T22:37:54.549+00:00,0,11,49978,201.4,47,147582744
2026-08-07T22:37:54.549+00:00,1,0,39481,,48,147582744
2026-08-07T22:37:56.108+00:00,0,4,49977,193.1,47,147678916
2026-08-07T22:37:56.108+00:00,1,0,39481,,48,147678916
2026-08-07T22:37:57.676+00:00,0,36,49977,226.1,50,147695156
2026-08-07T22:37:57.676+00:00,1,0,39481,,49,147695156
2026-08-07T22:37:59.242+00:00,0,34,49978,233.9,49,147698020
2026-08-07T22:37:59.242+00:00,1,0,39481,,48,147698020
2026-08-07T22:38:00.812+00:00,0,71,49978,275.2,55,147681908
2026-08-07T22:38:00.812+00:00,1,0,39481,,48,147681908
2026-08-07T22:38:02.386+00:00,0,66,49978,271.8,54,147669756
2026-08-07T22:38:02.386+00:00,1,0,39481,,48,147669756
2026-08-07T22:38:03.968+00:00,0,29,49978,221.8,50,147693972
2026-08-07T22:38:03.968+00:00,1,0,39481,,48,147693972
2026-08-07T22:38:05.535+00:00,0,33,49977,230.4,52,147729620
2026-08-07T22:38:05.535+00:00,1,0,39481,,48,147729620
2026-08-07T22:38:07.105+00:00,0,67,49977,270.9,55,147263516
2026-08-07T22:38:07.105+00:00,1,0,39481,,48,147263516
2026-08-07T22:38:08.663+00:00,0,0,49978,169.8,48,146403564
2026-08-07T22:38:08.663+00:00,1,0,39481,,48,146403564
