timestamp,device_id,npu_aicore_pct,npu_hbm_mb,npu_power_w,npu_temp_c,host_used_kb
2026-08-07T21:23:47.278+00:00,0,32,51256,215.5,52,111460552
2026-08-07T21:23:47.278+00:00,1,0,45292,,52,111460552
2026-08-07T21:23:48.834+00:00,0,57,51256,265.3,58,111660996
2026-08-07T21:23:48.834+00:00,1,0,45292,,52,111660996
2026-08-07T21:23:50.390+00:00,0,68,51255,284.1,60,111761436
2026-08-07T21:23:50.390+00:00,1,0,45292,,52,111761436
2026-08-07T21:23:51.938+00:00,0,69,51255,281.5,61,111866384
2026-08-07T21:23:51.938+00:00,1,0,45292,,52,111866384
2026-08-07T21:23:53.490+00:00,0,70,51255,276.5,61,112031936
2026-08-07T21:23:53.490+00:00,1,0,45292,,52,112031936
2026-08-07T21:23:55.049+00:00,0,69,51256,285.7,60,111623388
2026-08-07T21:23:55.049+00:00,1,0,45292,,52,111623388
2026-08-07T21:23:56.603+00:00,0,69,51256,284.0,61,111630672
2026-08-07T21:23:56.603+00:00,1,0,45292,,52,111630672
2026-08-07T21:23:58.151+00:00,0,69,51255,283.7,61,111360912
2026-08-07T21:23:58.151+00:00,1,0,45292,,52,111360912
2026-08-07T21:23:59.706+00:00,0,67,51255,285.0,61,111458584
2026-08-07T21:23:59.706+00:00,1,0,45292,,53,111458584
2026-08-07T21:24:01.271+00:00,0,70,51255,282.5,59,111817500
2026-08-07T21:24:01.271+00:00,1,0,45292,,52,111817500
2026-08-07T21:24:02.834+00:00,0,66,51255,266.6,61,112131952
2026-08-07T21:24:02.834+00:00,1,0,45292,,52,112131952
2026-08-07T21:24:04.390+00:00,0,69,51256,280.9,59,112201720
2026-08-07T21:24:04.390+00:00,1,0,45292,,52,112201720
2026-08-07T21:24:05.943+00:00,0,69,51255,277.5,60,112223164
2026-08-07T21:24:05.943+00:00,1,0,45292,,52,112223164
2026-08-07T21:24:07.494+00:00,0,69,51255,279.8,61,112221668
2026-08-07T21:24:07.494+00:00,1,0,45292,,52,112221668
2026-08-07T21:24:09.052+00:00,0,68,51256,282.1,61,112314940
2026-08-07T21:24:09.052+00:00,1,0,45292,,52,112314940
2026-08-07T21:24:10.614+00:00,0,68,51256,289.0,61,112394400
2026-08-07T21:24:10.614+00:00,1,0,45292,,52,112394400
2026-08-07T21:24:12.182+00:00,0,69,51256,277.8,59,112448152
2026-08-07T21:24:12.182+00:00,1,0,45292,,52,112448152
2026-08-07T21:24:13.782+00:00,0,70,51256,287.5,60,112520012
2026-08-07T21:24:13.782+00:00,1,0,45292,,52,112520012
2026-08-07T21:24:15.335+00:00,0,70,51255,282.4,58,112703800
2026-08-07T21:24:15.335+00:00,1,0,45292,,52,112703800
2026-08-07T21:24:16.894+00:00,0,71,51255,274.0,60,112573080
2026-08-07T21:24:16.894+00:00,1,0,45292,,52,112573080
2026-08-07T21:24:18.454+00:00,0,57,51256,267.5,59,112936576
2026-08-07T21:24:18.454+00:00,1,0,45292,,52,112936576
2026-08-07T21:24:20.009+00:00,0,35,51255,246.2,56,113263712
2026-08-07T21:24:20.009+00:00,1,0,45292,,52,113263712
2026-08-07T21:24:21.572+00:00,0,33,51256,243.7,56,113456876
2026-08-07T21:24:21.572+00:00,1,0,45292,,52,113456876
2026-08-07T21:24:23.112+00:00,0,63,51255,268.4,61,114053456
2026-08-07T21:24:23.112+00:00,1,0,45292,,52,114053456
2026-08-07T21:24:24.672+00:00,0,68,51255,275.3,61,114168300
2026-08-07T21:24:24.672+00:00,1,0,45292,,52,114168300
2026-08-07T21:24:26.233+00:00,0,68,51255,278.4,60,114178692
2026-08-07T21:24:26.233+00:00,1,0,45292,,52,114178692
2026-08-07T21:24:27.784+00:00,0,69,51255,276.8,61,114253076
2026-08-07T21:24:27.784+00:00,1,0,45292,,52,114253076
2026-08-07T21:24:29.359+00:00,0,69,51256,278.0,61,114348484
2026-08-07T21:24:29.359+00:00,1,0,45292,,52,114348484
2026-08-07T21:24:30.995+00:00,0,71,51256,275.6,60,114431524
2026-08-07T21:24:30.995+00:00,1,0,45292,,52,114431524
2026-08-07T21:24:31.557+00:00,0,0,51256,188.0,51,114441732
2026-08-07T21:24:31.557+00:00,1,0,45292,,52,114441732
