timestamp,device_id,npu_aicore_pct,npu_hbm_mb,npu_power_w,npu_temp_c,host_used_kb
2026-08-07T22:46:18.144+00:00,0,0,51147,175.6,46,141409044
2026-08-07T22:46:18.144+00:00,1,0,43261,,48,141409044
2026-08-07T22:46:19.709+00:00,0,72,51257,290.9,55,140758856
2026-08-07T22:46:19.709+00:00,1,0,43261,,48,140758856
2026-08-07T22:46:21.277+00:00,0,71,51258,283.5,56,139581624
2026-08-07T22:46:21.277+00:00,1,0,43261,,48,139581624
2026-08-07T22:46:22.844+00:00,0,71,51258,282.1,56,138860724
2026-08-07T22:46:22.844+00:00,1,0,43261,,47,138860724
2026-08-07T22:46:24.410+00:00,0,70,51257,269.5,56,136870860
2026-08-07T22:46:24.410+00:00,1,0,43261,,48,136870860
2026-08-07T22:46:25.979+00:00,0,65,51257,271.6,56,136966792
2026-08-07T22:46:25.979+00:00,1,0,43261,,48,136966792
2026-08-07T22:46:27.536+00:00,0,71,51257,279.7,57,137159780
2026-08-07T22:46:27.536+00:00,1,0,43261,,48,137159780
2026-08-07T22:46:29.094+00:00,0,66,51257,270.4,56,137234788
2026-08-07T22:46:29.094+00:00,1,0,43261,,47,137234788
2026-08-07T22:46:30.645+00:00,0,69,51258,275.2,57,137229064
2026-08-07T22:46:30.645+00:00,1,0,43261,,48,137229064
2026-08-07T22:46:32.207+00:00,0,71,51258,276.0,55,137006560
2026-08-07T22:46:32.207+00:00,1,0,43261,,48,137006560
2026-08-07T22:46:33.767+00:00,0,70,51258,280.1,57,137011584
2026-08-07T22:46:33.767+00:00,1,0,43261,,48,137011584
2026-08-07T22:46:35.330+00:00,0,0,51258,168.8,48,132288848
2026-08-07T22:46:35.330+00:00,1,0,43261,,48,132288848
