timestamp,device_id,npu_aicore_pct,npu_hbm_mb,npu_power_w,npu_temp_c,host_used_kb
2026-08-07T21:25:41.678+00:00,0,37,51258,237.2,52,123025832
2026-08-07T21:25:41.678+00:00,1,0,45292,,51,123025832
2026-08-07T21:25:43.254+00:00,0,69,51258,279.8,60,123103304
2026-08-07T21:25:43.254+00:00,1,0,45292,,52,123103304
2026-08-07T21:25:44.815+00:00,0,70,51257,276.1,59,123168292
2026-08-07T21:25:44.815+00:00,1,0,45292,,51,123168292
2026-08-07T21:25:46.372+00:00,0,70,51257,273.2,59,123172104
2026-08-07T21:25:46.372+00:00,1,0,45292,,51,123172104
2026-08-07T21:25:47.934+00:00,0,69,51257,276.5,60,123290128
2026-08-07T21:25:47.934+00:00,1,0,45292,,51,123290128
2026-08-07T21:25:49.508+00:00,0,70,51258,276.1,60,123380844
2026-08-07T21:25:49.508+00:00,1,0,45292,,52,123380844
2026-08-07T21:25:51.070+00:00,0,69,51258,278.8,60,123466364
2026-08-07T21:25:51.070+00:00,1,0,45292,,52,123466364
2026-08-07T21:25:52.638+00:00,0,70,51258,280.5,58,122395128
2026-08-07T21:25:52.638+00:00,1,0,45292,,52,122395128
2026-08-07T21:25:54.198+00:00,0,69,51258,263.8,59,122489128
2026-08-07T21:25:54.198+00:00,1,0,45292,,52,122489128
2026-08-07T21:25:55.798+00:00,0,36,51257,251.7,56,123125248
2026-08-07T21:25:55.798+00:00,1,0,45292,,52,123125248
2026-08-07T21:25:57.358+00:00,0,72,51257,273.3,60,123161604
2026-08-07T21:25:57.358+00:00,1,0,45292,,52,123161604
2026-08-07T21:25:58.921+00:00,0,69,51258,268.5,60,123211876
2026-08-07T21:25:58.921+00:00,1,0,45292,,51,123211876
2026-08-07T21:26:00.477+00:00,0,70,51258,287.7,60,123245048
2026-08-07T21:26:00.477+00:00,1,0,45292,,52,123245048
2026-08-07T21:26:02.042+00:00,0,70,51258,280.3,60,123248280
2026-08-07T21:26:02.042+00:00,1,0,45292,,51,123248280
2026-08-07T21:26:03.577+00:00,0,70,51258,279.9,59,123361380
2026-08-07T21:26:03.577+00:00,1,0,45292,,52,123361380
2026-08-07T21:26:05.131+00:00,0,0,51258,186.9,51,123426120
2026-08-07T21:26:05.131+00:00,1,0,45292,,51,123426120
