timestamp,device_id,npu_aicore_pct,npu_hbm_mb,npu_power_w,npu_temp_c,host_used_kb
2026-08-07T21:26:05.862+00:00,0,35,51258,236.4,51,123488612
2026-08-07T21:26:05.862+00:00,1,0,45292,,51,123488612
2026-08-07T21:26:07.418+00:00,0,71,51257,282.4,60,123532120
2026-08-07T21:26:07.418+00:00,1,0,45292,,51,123532120
2026-08-07T21:26:08.975+00:00,0,71,51258,279.1,60,123581836
2026-08-07T21:26:08.975+00:00,1,0,45292,,52,123581836
2026-08-07T21:26:10.533+00:00,0,72,51258,281.9,59,123138336
2026-08-07T21:26:10.533+00:00,1,0,45292,,51,123138336
2026-08-07T21:26:12.095+00:00,0,73,51257,278.7,60,122372320
2026-08-07T21:26:12.095+00:00,1,0,45292,,52,122372320
2026-08-07T21:26:13.665+00:00,0,70,51258,281.4,59,122400104
2026-08-07T21:26:13.665+00:00,1,0,45292,,51,122400104
2026-08-07T21:26:15.225+00:00,0,70,51258,282.6,60,122349796
2026-08-07T21:26:15.225+00:00,1,0,45292,,51,122349796
2026-08-07T21:26:16.787+00:00,0,70,51257,281.2,59,122327640
2026-08-07T21:26:16.787+00:00,1,0,45292,,51,122327640
2026-08-07T21:26:18.409+00:00,0,39,51259,242.3,57,122349228
2026-08-07T21:26:18.409+00:00,1,0,45292,,51,122349228
2026-08-07T21:26:19.971+00:00,0,70,51258,280.1,60,122384272
2026-08-07T21:26:19.971+00:00,1,0,45292,,51,122384272
2026-08-07T21:26:21.534+00:00,0,70,51257,290.1,60,122371240
2026-08-07T21:26:21.534+00:00,1,0,45292,,51,122371240
2026-08-07T21:26:23.087+00:00,0,69,51257,286.5,59,122382436
2026-08-07T21:26:23.087+00:00,1,0,45292,,51,122382436
2026-08-07T21:26:24.649+00:00,0,69,51258,281.1,58,122386756
2026-08-07T21:26:24.649+00:00,1,0,45292,,51,122386756
2026-08-07T21:26:26.211+00:00,0,69,51258,272.3,60,122382716
2026-08-07T21:26:26.211+00:00,1,0,45292,,51,122382716
2026-08-07T21:26:27.768+00:00,0,70,51257,286.9,60,122390788
2026-08-07T21:26:27.768+00:00,1,0,45292,,52,122390788
2026-08-07T21:26:29.357+00:00,0,0,51258,187.6,51,122365292
2026-08-07T21:26:29.357+00:00,1,0,45292,,52,122365292
2026-08-07T21:26:29.957+00:00,0,0,51257,186.9,51,122374056
2026-08-07T21:26:29.957+00:00,1,0,45292,,52,122374056
